

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

079.347  000.624  000.236: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/copilot.vim/plugin/copilot.vim
079.692  000.062  000.062: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/git-messenger.vim/plugin/gitmessenger.vim
079.978  000.011  000.011: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/goyo.vim/plugin/goyo.vim
080.333  000.084  000.084: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lens.vim/plugin/lens.vim
080.605  000.046  000.046: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/lightline.vim/plugin/lightline.vim
080.872  000.028  000.028: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/limelight.vim/plugin/limelight.vim
081.275  000.082  000.082: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/markdown-preview.nvim/plugin/mkdp.vim
081.600  000.025  000.025: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/neco-vim/plugin/necovim.vim
082.585  000.118  000.118: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/pear-tree/plugin/pear-tree.vim
082.876  000.027  000.027: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
085.572  000.017  000.017: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/presence.nvim/autoload/presence.vim
086.103  003.003  002.986: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/presence.nvim/plugin/presence.vim
086.487  000.036  000.036: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/rename.vim/plugin/rename.vim
086.780  000.038  000.038: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/rust.vim/plugin/cargo.vim
086.849  000.022  000.022: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/rust.vim/plugin/rust.vim
087.185  000.095  000.095: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/sideways.vim/plugin/sideways.vim
087.613  000.018  000.018: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/splitjoin.vim/autoload/sj/settings.vim
087.747  000.343  000.326: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/splitjoin.vim/plugin/splitjoin.vim
088.103  000.103  000.103: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/tabular/plugin/Tabular.vim
088.632  000.024  000.024: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/tcomment_vim/autoload/tcomment/deprecated.vim
089.631  001.217  001.192: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/tcomment_vim/plugin/tcomment.vim
090.144  000.233  000.233: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
090.372  000.062  000.062: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/thesaurus_query.vim/plugin/thesaurus_query.vim
090.608  000.014  000.014: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/twilight.nvim/plugin/twilight.vim
091.176  000.051  000.051: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/ultisnips/autoload/UltiSnips/map_keys.vim
091.225  000.370  000.319: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/ultisnips/plugin/UltiSnips.vim
091.671  000.117  000.117: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/undotree/plugin/undotree.vim
092.408  000.394  000.394: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-abolish/plugin/abolish.vim
092.902  000.075  000.075: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-argwrap/autoload/argwrap.vim
092.960  000.316  000.242: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-argwrap/plugin/argwrap.vim
